model_a,model_b,average_rank_a,average_rank_b,absolute_rank_difference,q_statistic,p_value_nemenyi,significant,better_model_by_rank
hist_gradient_boosting,linear_svm,2.706857142857143,4.499952380952381,1.7930952380952383,98.21187096598587,0.0,True,hist_gradient_boosting
hist_gradient_boosting,logistic_regression,2.706857142857143,4.492761904761905,1.7859047619047623,97.81803236511313,0.0,True,hist_gradient_boosting
random_forest,linear_svm,2.758142857142857,4.499952380952381,1.7418095238095241,95.40283670678082,0.0,True,random_forest
random_forest,logistic_regression,2.758142857142857,4.492761904761905,1.7346190476190482,95.00899810590806,0.0,True,random_forest
extra_trees,linear_svm,2.839857142857143,4.499952380952381,1.6600952380952383,90.92716095116717,0.0,True,extra_trees
extra_trees,logistic_regression,2.839857142857143,4.492761904761905,1.6529047619047623,90.53332235029441,0.0,True,extra_trees
hist_gradient_boosting,decision_tree,2.706857142857143,3.7024285714285714,0.9955714285714286,54.529692903621466,0.0,True,hist_gradient_boosting
random_forest,decision_tree,2.758142857142857,3.7024285714285714,0.9442857142857144,51.72065864441641,0.0,True,random_forest
extra_trees,decision_tree,2.839857142857143,3.7024285714285714,0.8625714285714285,47.24498288880275,0.0,True,extra_trees
decision_tree,linear_svm,3.7024285714285714,4.499952380952381,0.7975238095238097,43.68217806236441,0.0,True,decision_tree
decision_tree,logistic_regression,3.7024285714285714,4.492761904761905,0.7903333333333338,43.28833946149165,0.0,True,decision_tree
hist_gradient_boosting,extra_trees,2.706857142857143,2.839857142857143,0.133,7.284710014818711,3.852306094231928e-06,True,hist_gradient_boosting
random_forest,extra_trees,2.758142857142857,2.839857142857143,0.08171428571428585,4.475675755613651,0.01935449616109708,True,random_forest
hist_gradient_boosting,random_forest,2.706857142857143,2.758142857142857,0.05128571428571416,2.8090342592050592,0.3501226664322572,False,hist_gradient_boosting
logistic_regression,linear_svm,4.492761904761905,4.499952380952381,0.0071904761904759695,0.39383860087275024,0.9997753244479803,False,logistic_regression
