difficulty_rank,fault,n_models,mean_f1_score,median_f1_score,std_f1_score,min_f1_score,max_f1_score,range_f1_score,cv_f1_score,best_model,best_score,worst_model,worst_score
21,7,6,0.8365333333333332,0.83685,0.0010576703960434174,0.8344,0.8372,0.0028000000000000247,0.0012643493736572572,Linear SVM,0.8372,HistGradientBoosting,0.8344
20,1,6,0.8262333333333335,0.82735,0.0036522139404293924,0.8208,0.8307,0.00990000000000002,0.004420317836482098,Extra Trees,0.8307,HistGradientBoosting,0.8208
19,2,6,0.8243,0.8251999999999999,0.0027878306978724463,0.8198,0.8269,0.007099999999999995,0.0033820583499605075,Extra Trees,0.8269,HistGradientBoosting,0.8198
18,4,6,0.8234,0.8289,0.0212542701591939,0.7822,0.8403,0.05810000000000004,0.025812812921051614,Linear SVM,0.8403,Decision Tree,0.7822
17,6,6,0.8186833333333334,0.8288,0.026093479389814357,0.7701,0.8369,0.06679999999999997,0.031872493707148904,Random Forest,0.8369,Linear SVM,0.7701
16,5,6,0.8122500000000001,0.82045,0.02805278952261253,0.7576,0.8352,0.0776,0.034537136993059436,Linear SVM,0.8352,Decision Tree,0.7576
15,18,6,0.7410166666666665,0.7393000000000001,0.01580878447783595,0.7238,0.7623,0.03849999999999998,0.021333912162797893,HistGradientBoosting,0.7623,Linear SVM,0.7238
14,17,6,0.7286,0.7629,0.07716268528246022,0.5861,0.7826,0.1965,0.10590541488122455,Extra Trees,0.7826,Linear SVM,0.5861
13,20,6,0.6446666666666667,0.6491,0.05044845554292686,0.5525,0.6911,0.13860000000000006,0.07825510166948323,Logistic Regression,0.6911,Decision Tree,0.5525
12,8,6,0.6402,0.718,0.17331778904659498,0.4197,0.7817,0.36199999999999993,0.2707244439965557,Random Forest,0.7817,Linear SVM,0.4197
