fault,model,f1_score
0,Decision Tree,0.1889
0,Extra Trees,0.1614
0,HistGradientBoosting,0.2319
0,Linear SVM,0.0809
0,Logistic Regression,0.0723
0,Random Forest,0.2063
1,Decision Tree,0.823
1,Extra Trees,0.8307
1,HistGradientBoosting,0.8208
1,Linear SVM,0.8269
1,Logistic Regression,0.8282
1,Random Forest,0.8278
10,Decision Tree,0.5736
10,Extra Trees,0.7023
10,HistGradientBoosting,0.6945
10,Linear SVM,0.0429
10,Logistic Regression,0.0783
10,Random Forest,0.7078
11,Decision Tree,0.6362
11,Extra Trees,0.6585
11,HistGradientBoosting,0.7051
11,Linear SVM,0.0405
11,Logistic Regression,0.117
11,Random Forest,0.677
12,Decision Tree,0.6429
12,Extra Trees,0.7397
12,HistGradientBoosting,0.7575
12,Linear SVM,0.0796
12,Logistic Regression,0.2605
12,Random Forest,0.7636
13,Decision Tree,0.6693
13,Extra Trees,0.7417
13,HistGradientBoosting,0.7305
13,Linear SVM,0.4382
13,Logistic Regression,0.473
13,Random Forest,0.7419
14,Decision Tree,0.8138
14,Extra Trees,0.8038
14,HistGradientBoosting,0.8146
14,Linear SVM,0.194
14,Logistic Regression,0.0301
14,Random Forest,0.8144
15,Decision Tree,0.177
15,Extra Trees,0.2638
15,HistGradientBoosting,0.2152
15,Linear SVM,0.0808
15,Logistic Regression,0.0678
15,Random Forest,0.2396
16,Decision Tree,0.6003
16,Extra Trees,0.6333
16,HistGradientBoosting,0.6853
16,Linear SVM,0.1458
16,Logistic Regression,0.0861
16,Random Forest,0.6556
17,Decision Tree,0.7495
17,Extra Trees,0.7826
17,HistGradientBoosting,0.7812
17,Linear SVM,0.5861
17,Logistic Regression,0.6959
17,Random Forest,0.7763
18,Decision Tree,0.733
18,Extra Trees,0.7456
18,HistGradientBoosting,0.7623
18,Linear SVM,0.7238
18,Logistic Regression,0.7263
18,Random Forest,0.7551
19,Decision Tree,0.5749
19,Extra Trees,0.7705
19,HistGradientBoosting,0.749
19,Linear SVM,0.0693
19,Logistic Regression,0.0763
19,Random Forest,0.7355
2,Decision Tree,0.8222
2,Extra Trees,0.8269
2,HistGradientBoosting,0.8198
2,Linear SVM,0.8259
2,Logistic Regression,0.8245
2,Random Forest,0.8265
20,Decision Tree,0.5525
20,Extra Trees,0.6395
20,HistGradientBoosting,0.6873
20,Linear SVM,0.6587
20,Logistic Regression,0.6911
20,Random Forest,0.6389
3,Decision Tree,0.1764
3,Extra Trees,0.2105
3,HistGradientBoosting,0.403
3,Linear SVM,0.1253
3,Logistic Regression,0.0674
3,Random Forest,0.2808
4,Decision Tree,0.7822
4,Extra Trees,0.8337
4,HistGradientBoosting,0.8237
4,Linear SVM,0.8403
4,Logistic Regression,0.8364
4,Random Forest,0.8241
5,Decision Tree,0.7576
5,Extra Trees,0.8157
5,HistGradientBoosting,0.8252
5,Linear SVM,0.8352
5,Logistic Regression,0.8278
5,Random Forest,0.812
6,Decision Tree,0.8364
6,Extra Trees,0.8368
6,HistGradientBoosting,0.8212
6,Linear SVM,0.7701
6,Logistic Regression,0.8107
6,Random Forest,0.8369
7,Decision Tree,0.8371
7,Extra Trees,0.8369
7,HistGradientBoosting,0.8344
7,Linear SVM,0.8372
7,Logistic Regression,0.8368
7,Random Forest,0.8368
8,Decision Tree,0.6745
8,Extra Trees,0.779
8,HistGradientBoosting,0.7615
8,Linear SVM,0.4197
8,Logistic Regression,0.4248
8,Random Forest,0.7817
9,Decision Tree,0.1865
9,Extra Trees,0.2394
9,HistGradientBoosting,0.1766
9,Linear SVM,0.2036
9,Logistic Regression,0.0854
9,Random Forest,0.2348
