model,fault,f1_score,rank_within_fault
HistGradientBoosting,0,0.2319,1.0
HistGradientBoosting,1,0.8208,6.0
HistGradientBoosting,2,0.8198,6.0
HistGradientBoosting,3,0.403,1.0
HistGradientBoosting,4,0.8237,5.0
HistGradientBoosting,5,0.8252,3.0
HistGradientBoosting,6,0.8212,4.0
HistGradientBoosting,7,0.8344,6.0
HistGradientBoosting,8,0.7615,3.0
HistGradientBoosting,9,0.1766,5.0
HistGradientBoosting,10,0.6945,3.0
HistGradientBoosting,11,0.7051,1.0
HistGradientBoosting,12,0.7575,2.0
HistGradientBoosting,13,0.7305,3.0
HistGradientBoosting,14,0.8146,1.0
HistGradientBoosting,15,0.2152,3.0
HistGradientBoosting,16,0.6853,1.0
HistGradientBoosting,17,0.7812,2.0
HistGradientBoosting,18,0.7623,1.0
HistGradientBoosting,19,0.749,2.0
HistGradientBoosting,20,0.6873,2.0
Random Forest,0,0.2063,2.0
Random Forest,1,0.8278,3.0
Random Forest,2,0.8265,2.0
Random Forest,3,0.2808,2.0
Random Forest,4,0.8241,4.0
Random Forest,5,0.812,5.0
Random Forest,6,0.8369,1.0
Random Forest,7,0.8368,4.5
Random Forest,8,0.7817,1.0
Random Forest,9,0.2348,2.0
Random Forest,10,0.7078,1.0
Random Forest,11,0.677,2.0
Random Forest,12,0.7636,1.0
Random Forest,13,0.7419,1.0
Random Forest,14,0.8144,2.0
Random Forest,15,0.2396,2.0
Random Forest,16,0.6556,2.0
Random Forest,17,0.7763,3.0
Random Forest,18,0.7551,2.0
Random Forest,19,0.7355,3.0
Random Forest,20,0.6389,5.0
Extra Trees,0,0.1614,4.0
Extra Trees,1,0.8307,1.0
Extra Trees,2,0.8269,1.0
Extra Trees,3,0.2105,3.0
Extra Trees,4,0.8337,3.0
Extra Trees,5,0.8157,4.0
Extra Trees,6,0.8368,2.0
Extra Trees,7,0.8369,3.0
Extra Trees,8,0.779,2.0
Extra Trees,9,0.2394,1.0
Extra Trees,10,0.7023,2.0
Extra Trees,11,0.6585,3.0
Extra Trees,12,0.7397,3.0
Extra Trees,13,0.7417,2.0
Extra Trees,14,0.8038,4.0
Extra Trees,15,0.2638,1.0
Extra Trees,16,0.6333,3.0
Extra Trees,17,0.7826,1.0
Extra Trees,18,0.7456,3.0
Extra Trees,19,0.7705,1.0
Extra Trees,20,0.6395,4.0
Decision Tree,0,0.1889,3.0
Decision Tree,1,0.823,5.0
Decision Tree,2,0.8222,5.0
Decision Tree,3,0.1764,4.0
Decision Tree,4,0.7822,6.0
Decision Tree,5,0.7576,6.0
Decision Tree,6,0.8364,3.0
Decision Tree,7,0.8371,2.0
Decision Tree,8,0.6745,4.0
Decision Tree,9,0.1865,4.0
Decision Tree,10,0.5736,4.0
Decision Tree,11,0.6362,4.0
Decision Tree,12,0.6429,4.0
Decision Tree,13,0.6693,4.0
Decision Tree,14,0.8138,3.0
Decision Tree,15,0.177,4.0
Decision Tree,16,0.6003,4.0
Decision Tree,17,0.7495,4.0
Decision Tree,18,0.733,4.0
Decision Tree,19,0.5749,4.0
Decision Tree,20,0.5525,6.0
Logistic Regression,0,0.0723,6.0
Logistic Regression,1,0.8282,2.0
Logistic Regression,2,0.8245,4.0
Logistic Regression,3,0.0674,6.0
Logistic Regression,4,0.8364,2.0
Logistic Regression,5,0.8278,2.0
Logistic Regression,6,0.8107,5.0
Logistic Regression,7,0.8368,4.5
Logistic Regression,8,0.4248,5.0
Logistic Regression,9,0.0854,6.0
Logistic Regression,10,0.0783,5.0
Logistic Regression,11,0.117,5.0
Logistic Regression,12,0.2605,5.0
Logistic Regression,13,0.473,5.0
Logistic Regression,14,0.0301,6.0
Logistic Regression,15,0.0678,6.0
Logistic Regression,16,0.0861,6.0
Logistic Regression,17,0.6959,5.0
Logistic Regression,18,0.7263,5.0
Logistic Regression,19,0.0763,5.0
Logistic Regression,20,0.6911,1.0
Linear SVM,0,0.0809,5.0
Linear SVM,1,0.8269,4.0
Linear SVM,2,0.8259,3.0
Linear SVM,3,0.1253,5.0
Linear SVM,4,0.8403,1.0
Linear SVM,5,0.8352,1.0
Linear SVM,6,0.7701,6.0
Linear SVM,7,0.8372,1.0
Linear SVM,8,0.4197,6.0
Linear SVM,9,0.2036,3.0
Linear SVM,10,0.0429,6.0
Linear SVM,11,0.0405,6.0
Linear SVM,12,0.0796,6.0
Linear SVM,13,0.4382,6.0
Linear SVM,14,0.194,5.0
Linear SVM,15,0.0808,5.0
Linear SVM,16,0.1458,5.0
Linear SVM,17,0.5861,6.0
Linear SVM,18,0.7238,6.0
Linear SVM,19,0.0693,6.0
Linear SVM,20,0.6587,3.0
