difficulty_rank,fault,n_models,mean_f1_score,median_f1_score,std_f1_score,min_f1_score,max_f1_score,range_f1_score,cv_f1_score,best_model,best_score,worst_model,worst_score
1,0,6,0.15695,0.17515,0.06639692010929422,0.0723,0.2319,0.1596,0.4230450468894184,HistGradientBoosting,0.2319,Logistic Regression,0.0723
2,15,6,0.17403333333333335,0.1961,0.08250880357068975,0.0678,0.2638,0.19599999999999998,0.47409770295358983,Extra Trees,0.2638,Logistic Regression,0.0678
3,9,6,0.18771666666666667,0.19505,0.05609643185325308,0.0854,0.2394,0.154,0.2988356486899747,Extra Trees,0.2394,Logistic Regression,0.0854
4,3,6,0.21056666666666665,0.19345,0.11907793526370311,0.0674,0.403,0.3356,0.5655118027403979,HistGradientBoosting,0.403,Logistic Regression,0.0674
5,10,6,0.46656666666666663,0.63405,0.31856487983873344,0.0429,0.7078,0.6648999999999999,0.6827853393700082,Random Forest,0.7078,Linear SVM,0.0429
6,16,6,0.46773333333333333,0.6168,0.2745543492036989,0.0861,0.6853,0.5992000000000001,0.5869890590158899,HistGradientBoosting,0.6853,Logistic Regression,0.0861
7,11,6,0.4723833333333334,0.64735,0.3066988321899297,0.0405,0.7051,0.6646,0.6492583682530354,HistGradientBoosting,0.7051,Linear SVM,0.0405
8,19,6,0.4959166666666666,0.6552,0.3350121336111077,0.0693,0.7705,0.7011999999999999,0.6755411869153576,Extra Trees,0.7705,Linear SVM,0.0693
9,12,6,0.5406333333333333,0.6913,0.2959248936244916,0.0796,0.7636,0.6839999999999999,0.54736708852178,Random Forest,0.7636,Linear SVM,0.0796
10,14,6,0.57845,0.8088,0.3649934232284193,0.0301,0.8146,0.7845,0.6309852592763753,HistGradientBoosting,0.8146,Logistic Regression,0.0301
11,13,6,0.6324333333333333,0.6999,0.1400313917186667,0.4382,0.7419,0.3037,0.22141684243714757,Random Forest,0.7419,Linear SVM,0.4382
12,8,6,0.6402,0.718,0.17331778904659498,0.4197,0.7817,0.36199999999999993,0.2707244439965557,Random Forest,0.7817,Linear SVM,0.4197
13,20,6,0.6446666666666667,0.6491,0.05044845554292686,0.5525,0.6911,0.13860000000000006,0.07825510166948323,Logistic Regression,0.6911,Decision Tree,0.5525
14,17,6,0.7286,0.7629,0.07716268528246022,0.5861,0.7826,0.1965,0.10590541488122455,Extra Trees,0.7826,Linear SVM,0.5861
15,18,6,0.7410166666666665,0.7393000000000001,0.01580878447783595,0.7238,0.7623,0.03849999999999998,0.021333912162797893,HistGradientBoosting,0.7623,Linear SVM,0.7238
16,5,6,0.8122500000000001,0.82045,0.02805278952261253,0.7576,0.8352,0.0776,0.034537136993059436,Linear SVM,0.8352,Decision Tree,0.7576
17,6,6,0.8186833333333334,0.8288,0.026093479389814357,0.7701,0.8369,0.06679999999999997,0.031872493707148904,Random Forest,0.8369,Linear SVM,0.7701
18,4,6,0.8234,0.8289,0.0212542701591939,0.7822,0.8403,0.05810000000000004,0.025812812921051614,Linear SVM,0.8403,Decision Tree,0.7822
19,2,6,0.8243,0.8251999999999999,0.0027878306978724463,0.8198,0.8269,0.007099999999999995,0.0033820583499605075,Extra Trees,0.8269,HistGradientBoosting,0.8198
20,1,6,0.8262333333333335,0.82735,0.0036522139404293924,0.8208,0.8307,0.00990000000000002,0.004420317836482098,Extra Trees,0.8307,HistGradientBoosting,0.8208
21,7,6,0.8365333333333332,0.83685,0.0010576703960434174,0.8344,0.8372,0.0028000000000000247,0.0012643493736572572,Linear SVM,0.8372,HistGradientBoosting,0.8344
