fault,Decision Tree,Extra Trees,HistGradientBoosting,Linear SVM,Logistic Regression,Random Forest
0,0.1889,0.1614,0.2319,0.0809,0.0723,0.2063
1,0.823,0.8307,0.8208,0.8269,0.8282,0.8278
2,0.8222,0.8269,0.8198,0.8259,0.8245,0.8265
3,0.1764,0.2105,0.403,0.1253,0.0674,0.2808
4,0.7822,0.8337,0.8237,0.8403,0.8364,0.8241
5,0.7576,0.8157,0.8252,0.8352,0.8278,0.812
6,0.8364,0.8368,0.8212,0.7701,0.8107,0.8369
7,0.8371,0.8369,0.8344,0.8372,0.8368,0.8368
8,0.6745,0.779,0.7615,0.4197,0.4248,0.7817
9,0.1865,0.2394,0.1766,0.2036,0.0854,0.2348
10,0.5736,0.7023,0.6945,0.0429,0.0783,0.7078
11,0.6362,0.6585,0.7051,0.0405,0.117,0.677
12,0.6429,0.7397,0.7575,0.0796,0.2605,0.7636
13,0.6693,0.7417,0.7305,0.4382,0.473,0.7419
14,0.8138,0.8038,0.8146,0.194,0.0301,0.8144
15,0.177,0.2638,0.2152,0.0808,0.0678,0.2396
16,0.6003,0.6333,0.6853,0.1458,0.0861,0.6556
17,0.7495,0.7826,0.7812,0.5861,0.6959,0.7763
18,0.733,0.7456,0.7623,0.7238,0.7263,0.7551
19,0.5749,0.7705,0.749,0.0693,0.0763,0.7355
20,0.5525,0.6395,0.6873,0.6587,0.6911,0.6389
