class,support,predicted_count,precision,recall,f1
0,480000,662868,0.14808076419437957,0.20449583333333332,0.1717748681387527
1,480000,399871,0.9894415949143599,0.82426875,0.8993341069315843
2,480000,398174,0.9896376960826172,0.8209333333333333,0.897425794888029
3,480000,1237562,0.16358937976440777,0.421775,0.23574345496698224
4,480000,416450,0.9476839956777524,0.8222145833333333,0.8805019800323498
5,480000,400084,0.9878650483398487,0.82339375,0.898161993627881
6,480000,401096,0.9972649939166683,0.83333125,0.907957816174401
7,480000,401355,0.996437069427315,0.8331770833333333,0.9075230752647911
8,480000,386324,0.9664659715679067,0.7778520833333333,0.861961575576805
9,480000,768246,0.1328142287756786,0.21257083333333332,0.16348380046881783
10,480000,409732,0.8065979713568869,0.68851875,0.7428956135105851
11,480000,403183,0.8447181552793644,0.7095333333333333,0.7712467291603213
12,480000,397078,0.92711003883368,0.7669479166666666,0.8394578361331603
13,480000,363570,0.9827681051791952,0.7443854166666667,0.8471259053783325
14,480000,397369,0.9889473008714822,0.8187020833333334,0.8958078072054062
15,480000,647927,0.14650570203124735,0.19776041666666666,0.1683176304849516
16,480000,328697,0.9755884598885904,0.66806875,0.7930609362962889
17,480000,389514,0.9623633553607829,0.7809458333333333,0.8622149844625847
18,480000,397646,0.9367276421741951,0.7760125,0.848829710384369
19,480000,471167,0.7701091120558103,0.7559375,0.762957503782196
20,480000,402087,0.8390920372954112,0.7028916666666667,0.7649766973099026
