class,support,predicted_count,precision,recall,f1
0,480000,405308,0.24218125474947447,0.20449583333333332,0.2217488151016369
1,400000,397431,0.9952092312879468,0.9888175,0.9920030698580817
2,400000,394974,0.9972504519284814,0.98472,0.9909456158314612
3,400000,677702,0.2574273058069771,0.4361475,0.32376111392574203
4,400000,416090,0.9484606695666803,0.9866125,0.9671604847504565
5,400000,397724,0.9934301173678229,0.9877775,0.990595744894224
6,400000,400036,0.9997750202481777,0.999865,0.9998200080996354
7,400000,399935,0.9997974670884019,0.999635,0.9997162269434392
8,400000,385524,0.9683677280791857,0.9333225,0.9505221991944232
9,400000,393206,0.21180246486574467,0.208205,0.20998832585734345
10,400000,402672,0.8198633130687011,0.82534,0.8225925409133493
11,400000,377543,0.8986896856781876,0.848235,0.8727337266234794
12,400000,395638,0.9303024481975948,0.9201575,0.9252021648035915
13,400000,362610,0.9852375830782383,0.8931425,0.9369323769685685
14,400000,396689,0.9905568341950495,0.9823575,0.9864401290842474
15,400000,369147,0.21938685672645314,0.202465,0.21058653287342993
16,400000,327497,0.9789799601217721,0.8015325,0.8814139439750267
17,400000,386634,0.969159463471914,0.936775,0.9526921033161546
18,400000,395346,0.9418863476549655,0.9309275,0.9363748607524272
19,400000,421127,0.8556753663384205,0.90087,0.8776912706560617
20,400000,377167,0.8912285539296916,0.840355,0.865044449905876
