split,class,count,proportion
train,0,200000,0.047619047619047616
train,1,200000,0.047619047619047616
train,2,200000,0.047619047619047616
train,3,200000,0.047619047619047616
train,4,200000,0.047619047619047616
train,5,200000,0.047619047619047616
train,6,200000,0.047619047619047616
train,7,200000,0.047619047619047616
train,8,200000,0.047619047619047616
train,9,200000,0.047619047619047616
train,10,200000,0.047619047619047616
train,11,200000,0.047619047619047616
train,12,200000,0.047619047619047616
train,13,200000,0.047619047619047616
train,14,200000,0.047619047619047616
train,15,200000,0.047619047619047616
train,16,200000,0.047619047619047616
train,17,200000,0.047619047619047616
train,18,200000,0.047619047619047616
train,19,200000,0.047619047619047616
train,20,200000,0.047619047619047616
validation,0,50000,0.047619047619047616
validation,1,50000,0.047619047619047616
validation,2,50000,0.047619047619047616
validation,3,50000,0.047619047619047616
validation,4,50000,0.047619047619047616
validation,5,50000,0.047619047619047616
validation,6,50000,0.047619047619047616
validation,7,50000,0.047619047619047616
validation,8,50000,0.047619047619047616
validation,9,50000,0.047619047619047616
validation,10,50000,0.047619047619047616
validation,11,50000,0.047619047619047616
validation,12,50000,0.047619047619047616
validation,13,50000,0.047619047619047616
validation,14,50000,0.047619047619047616
validation,15,50000,0.047619047619047616
validation,16,50000,0.047619047619047616
validation,17,50000,0.047619047619047616
validation,18,50000,0.047619047619047616
validation,19,50000,0.047619047619047616
validation,20,50000,0.047619047619047616
test,0,480000,0.047619047619047616
test,1,480000,0.047619047619047616
test,2,480000,0.047619047619047616
test,3,480000,0.047619047619047616
test,4,480000,0.047619047619047616
test,5,480000,0.047619047619047616
test,6,480000,0.047619047619047616
test,7,480000,0.047619047619047616
test,8,480000,0.047619047619047616
test,9,480000,0.047619047619047616
test,10,480000,0.047619047619047616
test,11,480000,0.047619047619047616
test,12,480000,0.047619047619047616
test,13,480000,0.047619047619047616
test,14,480000,0.047619047619047616
test,15,480000,0.047619047619047616
test,16,480000,0.047619047619047616
test,17,480000,0.047619047619047616
test,18,480000,0.047619047619047616
test,19,480000,0.047619047619047616
test,20,480000,0.047619047619047616
