split,feature,dtype,missing,positive_inf,negative_inf,finite_count,mean,std,min,max,nunique
train,xmeas_1,float32,0,0,0,300000,-0.0023489310406148434,0.9940589666366577,-1.8177835941314697,5.165130615234375,56621
train,xmeas_2,float32,0,0,0,300000,0.0009318697266280651,0.9954190254211426,-7.154649257659912,4.80023717880249,3361
train,xmeas_3,float32,0,0,0,300000,-0.002809766447171569,0.9963815808296204,-8.499796867370605,5.576445579528809,8745
train,xmeas_4,float32,0,0,0,300000,0.00014411727897822857,0.9940940141677856,-7.416956901550293,8.111997604370117,18683
train,xmeas_5,float32,0,0,0,300000,0.0008264284115284681,1.0001626014709473,-6.386880397796631,6.2812018394470215,2213
train,xmeas_6,float32,0,0,0,300000,-0.0029526494909077883,0.9974543452262878,-7.106939315795898,7.015118598937988,2987
train,xmeas_7,float32,0,0,0,300000,-0.0020431664306670427,0.9969775676727295,-3.871819257736206,3.7513365745544434,4584
train,xmeas_8,float32,0,0,0,300000,-0.00019888102542608976,0.9983833432197571,-9.926725387573242,9.24681568145752,11573
train,xmeas_9,float32,0,0,0,300000,-0.00032725013443268836,0.9980387091636658,-10.520894050598145,7.851934432983398,131
train,xmeas_10,float32,0,0,0,300000,-0.003059648908674717,0.9904850721359253,-3.832653045654297,5.6281962394714355,30277
train,xmeas_11,float32,0,0,0,300000,0.0013304046588018537,0.9976223111152649,-6.35529088973999,4.054654598236084,10349
train,xmeas_12,float32,0,0,0,300000,-0.0027590517420321703,1.0006777048110962,-4.751685619354248,4.660271167755127,6472
train,xmeas_13,float32,0,0,0,300000,-0.0020055316854268312,0.9966229796409607,-4.151129245758057,3.9541752338409424,4754
train,xmeas_14,float32,0,0,0,300000,0.0010335922706872225,0.9976340532302856,-4.938493251800537,6.086658000946045,7111
train,xmeas_15,float32,0,0,0,300000,0.0006555771687999368,0.9990687966346741,-4.884421348571777,5.018134117126465,6623
train,xmeas_16,float32,0,0,0,300000,-0.0016654994105920196,0.9984937310218811,-2.9320874214172363,4.296881198883057,4552
train,xmeas_17,float32,0,0,0,300000,0.0010947699192911386,0.9994955062866211,-4.949197769165039,6.02130651473999,4506
train,xmeas_18,float32,0,0,0,300000,-0.0007968143909238279,0.9924522042274475,-6.797900199890137,4.635697841644287,14309
train,xmeas_19,float32,0,0,0,300000,-0.0008023194968700409,0.9952757954597473,-3.655623435974121,3.2474639415740967,32867
train,xmeas_20,float32,0,0,0,300000,-0.0012297859648242593,0.9970893263816833,-9.757139205932617,5.497385025024414,8436
train,xmeas_21,float32,0,0,0,300000,0.0009050703956745565,0.9965610504150391,-11.293426513671875,4.1339030265808105,9891
train,xmeas_22,float32,0,0,0,300000,-0.0003158166946377605,0.9996921420097351,-9.893904685974121,4.591348648071289,9951
train,xmeas_23,float32,0,0,0,300000,-0.0011571869254112244,0.9986875057220459,-4.976692199707031,4.504235744476318,11306
train,xmeas_24,float32,0,0,0,300000,0.00031865263008512557,0.9964221119880676,-6.158644199371338,6.013483047485352,17347
train,xmeas_25,float32,0,0,0,300000,-0.0010394301498308778,0.999929666519165,-4.168972015380859,4.967098712921143,11350
train,xmeas_26,float32,0,0,0,300000,0.0009957101428881288,0.9972636699676514,-6.649973392486572,6.646579742431641,10053
train,xmeas_27,float32,0,0,0,300000,0.0019502630457282066,0.9924359321594238,-6.797397613525391,7.58388614654541,9013
train,xmeas_28,float32,0,0,0,300000,0.004965479485690594,0.987855851650238,-5.6966047286987305,4.104449272155762,9463
train,xmeas_29,float32,0,0,0,300000,-0.0010389764793217182,0.9988845586776733,-4.6768364906311035,4.353923320770264,15022
train,xmeas_30,float32,0,0,0,300000,0.0019822095055133104,0.9957016110420227,-6.040757179260254,6.094515800476074,3007
train,xmeas_31,float32,0,0,0,300000,-0.000995199428871274,1.0002660751342773,-4.006006240844727,4.877002239227295,14882
train,xmeas_32,float32,0,0,0,300000,0.0017651492962613702,0.9971305131912231,-6.557237148284912,9.102683067321777,16613
train,xmeas_33,float32,0,0,0,300000,0.002914854558184743,0.992004930973053,-6.427593231201172,7.981677532196045,11333
train,xmeas_34,float32,0,0,0,300000,0.0053851124830543995,0.9888004064559937,-5.446112155914307,4.374502182006836,10517
train,xmeas_35,float32,0,0,0,300000,0.001650386955589056,0.9974594116210938,-5.010487079620361,4.4805426597595215,20458
train,xmeas_36,float32,0,0,0,300000,0.0009329246240667999,0.9974421858787537,-5.0019612312316895,4.245569229125977,12688
train,xmeas_37,float32,0,0,0,300000,0.00044064788380637765,1.0008937120437622,-4.519543647766113,4.8062663078308105,76216
train,xmeas_38,float32,0,0,0,300000,0.0017644250765442848,0.9953206777572632,-4.955961227416992,8.103672981262207,36333
train,xmeas_39,float32,0,0,0,300000,0.004508971236646175,0.9995386600494385,-5.371504783630371,5.395791053771973,37537
train,xmeas_40,float32,0,0,0,300000,0.0004240230773575604,0.9984800219535828,-6.40781831741333,5.58029842376709,4341
train,xmeas_41,float32,0,0,0,300000,-0.0029106074944138527,0.9983394145965576,-5.355525970458984,5.559255123138428,4617
train,xmv_1,float32,0,0,0,300000,-0.0018723425455391407,0.99628084897995,-6.065754413604736,11.343375205993652,12727
train,xmv_2,float32,0,0,0,300000,-0.003185024717822671,0.9905377626419067,-4.069872856140137,9.013195037841797,17109
train,xmv_3,float32,0,0,0,300000,-0.0014870744198560715,0.9977370500564575,-1.516760230064392,3.493072986602783,54138
train,xmv_4,float32,0,0,0,300000,-0.002040310064330697,0.9964015483856201,-8.763651847839355,5.119169235229492,28560
train,xmv_5,float32,0,0,0,300000,-0.0015361980767920613,0.9927653074264526,-2.1346898078918457,7.162420749664307,21238
train,xmv_6,float32,0,0,0,300000,-0.001937453867867589,0.9925370812416077,-3.1672720909118652,4.4935832023620605,44048
train,xmv_7,float32,0,0,0,300000,-0.0027586123906075954,1.0006779432296753,-4.752237319946289,4.660407543182373,17038
