split,class_id,run_id,trajectory_id,n_rows,n_valid_time,n_missing_time,n_unique_time,duplicated_time_points,original_order_monotonic,start_time,end_time,modal_step,gap_count,max_gap,min_step,max_step
train,0,2,0::2,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,3,0::3,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,4,0::4,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,5,0::5,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,6,0::6,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,7,0::7,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,8,0::8,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,9,0::9,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,10,0::10,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,11,0::11,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,12,0::12,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,13,0::13,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,14,0::14,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,15,0::15,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,16,0::16,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,17,0::17,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,18,0::18,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,19,0::19,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,20,0::20,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,22,0::22,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,23,0::23,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,24,0::24,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,25,0::25,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,26,0::26,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,27,0::27,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,28,0::28,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,29,0::29,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,30,0::30,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,31,0::31,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,32,0::32,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,33,0::33,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,35,0::35,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,36,0::36,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,37,0::37,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,38,0::38,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,39,0::39,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,40,0::40,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,42,0::42,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,43,0::43,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,44,0::44,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,48,0::48,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,49,0::49,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,50,0::50,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,51,0::51,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,53,0::53,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,55,0::55,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,57,0::57,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,58,0::58,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,59,0::59,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,60,0::60,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,61,0::61,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,63,0::63,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,64,0::64,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,65,0::65,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,66,0::66,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,67,0::67,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,68,0::68,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,69,0::69,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,70,0::70,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,71,0::71,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,72,0::72,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,73,0::73,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,74,0::74,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,75,0::75,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,76,0::76,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,77,0::77,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,79,0::79,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,82,0::82,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,83,0::83,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,86,0::86,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,87,0::87,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,88,0::88,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,89,0::89,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,90,0::90,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,91,0::91,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,93,0::93,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,94,0::94,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,95,0::95,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,96,0::96,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,98,0::98,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,99,0::99,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,100,0::100,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,102,0::102,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,103,0::103,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,104,0::104,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,105,0::105,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,106,0::106,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,107,0::107,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,110,0::110,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,111,0::111,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,112,0::112,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,113,0::113,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,114,0::114,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,115,0::115,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,117,0::117,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,118,0::118,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,119,0::119,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,120,0::120,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,121,0::121,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,122,0::122,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,123,0::123,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,124,0::124,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,126,0::126,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,127,0::127,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,128,0::128,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,129,0::129,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,130,0::130,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,131,0::131,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,134,0::134,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,135,0::135,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,137,0::137,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,138,0::138,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,140,0::140,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,142,0::142,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,143,0::143,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,144,0::144,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,147,0::147,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,148,0::148,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,149,0::149,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,150,0::150,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,153,0::153,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,154,0::154,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,155,0::155,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,156,0::156,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,157,0::157,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,158,0::158,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,159,0::159,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,161,0::161,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,162,0::162,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,163,0::163,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,164,0::164,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,166,0::166,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,168,0::168,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,170,0::170,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,171,0::171,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,173,0::173,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,174,0::174,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,176,0::176,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,178,0::178,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,179,0::179,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,180,0::180,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,182,0::182,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,183,0::183,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,184,0::184,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,187,0::187,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,188,0::188,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,189,0::189,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,190,0::190,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,191,0::191,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,193,0::193,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,195,0::195,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,196,0::196,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,197,0::197,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,199,0::199,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,200,0::200,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,201,0::201,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,202,0::202,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,203,0::203,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,204,0::204,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,205,0::205,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,206,0::206,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,207,0::207,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,208,0::208,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,209,0::209,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,210,0::210,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,211,0::211,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,212,0::212,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,213,0::213,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,215,0::215,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,216,0::216,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,217,0::217,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,219,0::219,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,220,0::220,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,221,0::221,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,222,0::222,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,224,0::224,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,225,0::225,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,227,0::227,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,228,0::228,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,229,0::229,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,230,0::230,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,231,0::231,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,232,0::232,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,234,0::234,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,235,0::235,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,237,0::237,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,238,0::238,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,239,0::239,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,241,0::241,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,242,0::242,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,243,0::243,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,244,0::244,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,245,0::245,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,247,0::247,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,248,0::248,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,249,0::249,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,251,0::251,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,252,0::252,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,255,0::255,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,256,0::256,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,257,0::257,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,258,0::258,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,259,0::259,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,260,0::260,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,261,0::261,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,262,0::262,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,263,0::263,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,264,0::264,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,265,0::265,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,267,0::267,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,268,0::268,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,269,0::269,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,270,0::270,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,271,0::271,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,272,0::272,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,273,0::273,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,275,0::275,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,276,0::276,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
train,0,277,0::277,500,500,0,500,0,True,1.0,500.0,1.0,0,1.0,1.0,1.0
