split,faultNumber,model,n_trajectories,mean_metric,median_metric,std_metric,minimum,maximum
test,0,decision_tree,500,0.18887990090164447,0.18181818181818182,0.0910420126707912,0.0,0.5
test,0,extra_trees,500,0.16141252695211744,0.15789473684210525,0.08430961586923856,0.0,0.48
test,0,hist_gradient_boosting,500,0.2319130273403341,0.22727272727272727,0.10265910567013038,0.0,0.5294117647058824
test,0,linear_svm,500,0.08091459731422626,0.07142857142857142,0.06424711609540497,0.0,0.3333333333333333
test,0,logistic_regression,500,0.0723005706797024,0.058823529411764705,0.060088025638592786,0.0,0.3333333333333333
test,0,random_forest,500,0.2062609679180653,0.2,0.09010970099059405,0.0,0.5384615384615384
test,1,decision_tree,500,0.8230437668553795,0.8297101449275363,0.08747703623678857,0.5,1.0
test,1,extra_trees,500,0.8306557121606343,0.8421052631578947,0.0870707706010386,0.5,1.0
test,1,hist_gradient_boosting,500,0.8207636513011299,0.8260869565217391,0.08998422839018261,0.5,1.0
test,1,linear_svm,500,0.8268675156818719,0.8333333333333334,0.08768261168823445,0.5,1.0
test,1,logistic_regression,500,0.8282277726167985,0.84,0.08734718620014878,0.5,1.0
test,1,random_forest,500,0.8277604754548274,0.8366666666666667,0.08718089473888947,0.5,1.0
test,2,decision_tree,500,0.8221758756534886,0.8260869565217391,0.08763568082116965,0.5,1.0
test,2,extra_trees,500,0.826876386692781,0.8333333333333334,0.08732798494739509,0.5,1.0
test,2,hist_gradient_boosting,500,0.8198353619552115,0.8260869565217391,0.08927610412104002,0.5,1.0
test,2,linear_svm,500,0.8259283522929258,0.8333333333333334,0.08785997987472044,0.5,1.0
test,2,logistic_regression,500,0.8245134603569162,0.8304597701149425,0.08740849085756495,0.5,1.0
test,2,random_forest,500,0.8265104967657146,0.8333333333333334,0.08735035023412772,0.5,1.0
test,3,decision_tree,500,0.17641378579734013,0.16954022988505746,0.08797234236065514,0.0,0.5294117647058824
test,3,extra_trees,500,0.2105180849261172,0.20761494252873564,0.0929258461270609,0.0,0.5714285714285714
test,3,hist_gradient_boosting,500,0.4029950833613498,0.391304347826087,0.11981854851164897,0.058823529411764705,0.7857142857142857
test,3,linear_svm,500,0.1252725392222648,0.11764705882352941,0.07797422604547183,0.0,0.4375
test,3,logistic_regression,500,0.06743982806708027,0.05555555555555555,0.05562846460932556,0.0,0.2777777777777778
test,3,random_forest,500,0.2808037838624558,0.2777777777777778,0.10812119556050412,0.0,0.7
test,4,decision_tree,500,0.7821710872092192,0.7894736842105263,0.09648798005766754,0.375,1.0
test,4,extra_trees,500,0.8337035554260878,0.8421052631578947,0.0860679174726263,0.5,1.0
test,4,hist_gradient_boosting,500,0.8236598058063241,0.8333333333333334,0.0880225500210591,0.5,1.0
test,4,linear_svm,500,0.8402575286766796,0.85,0.08389765897297148,0.5,1.0
test,4,logistic_regression,500,0.8363867894362856,0.8441295546558705,0.08504713794265187,0.5,1.0
test,4,random_forest,500,0.824125807930139,0.8260869565217391,0.08819958965626398,0.5,1.0
test,5,decision_tree,500,0.7576414183204896,0.7633053221288515,0.1033331384138951,0.25,1.0
test,5,extra_trees,500,0.8157043186224149,0.8181818181818182,0.09114820269532871,0.5,1.0
test,5,hist_gradient_boosting,500,0.825217949749971,0.8333333333333334,0.08832684419269374,0.5,1.0
test,5,linear_svm,500,0.8352036089469725,0.8421052631578947,0.08594062456574152,0.5,1.0
test,5,logistic_regression,500,0.8278234784243439,0.8333333333333334,0.0866994758973247,0.5,1.0
test,5,random_forest,500,0.8119819955401538,0.8110119047619048,0.092870853758556,0.47619047619047616,1.0
test,6,decision_tree,500,0.8363945774238125,0.8421052631578947,0.08436097655686643,0.5,1.0
test,6,extra_trees,500,0.8367888096383059,0.8461538461538461,0.08493734781663854,0.5,1.0
test,6,hist_gradient_boosting,500,0.8212422243196711,0.8260869565217391,0.0894565928824496,0.47058823529411764,1.0
test,6,linear_svm,500,0.7700767450801632,0.8,0.15174344601485756,0.25,1.0
test,6,logistic_regression,500,0.8106531484175377,0.8275862068965517,0.11457464499050402,0.25,1.0
test,6,random_forest,500,0.836900882750379,0.8461538461538461,0.08492444580193274,0.5,1.0
test,7,decision_tree,500,0.8370796320163992,0.8461538461538461,0.08472837362046592,0.5,1.0
test,7,extra_trees,500,0.836931666781163,0.8461538461538461,0.08479083741370849,0.5,1.0
