split,model,metric,n_trajectories,mean,std,median,q1,q3,minimum,maximum,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high
test,decision_tree,trajectory_accuracy,10500,0.6099011221904189,0.2488390392220774,0.68,0.4811111111111111,0.8,0.0,1.0,0.6052192894328219,0.6145886293275473,0.6666666666666666,0.6818181818181818
test,extra_trees,trajectory_accuracy,10500,0.6596387392482648,0.2453625250356495,0.7391304347826086,0.5714285714285714,0.8333333333333334,0.0,1.0,0.6550688128847888,0.664367965779169,0.7368421052631579,0.75
test,hist_gradient_boosting,trajectory_accuracy,10500,0.6714592654741011,0.23349018887189832,0.75,0.6,0.8333333333333334,0.0,1.0,0.6669427995159516,0.6759666207234525,,
test,linear_svm,trajectory_accuracy,10500,0.4202258992804023,0.3358285728142228,0.34782608695652173,0.09523809523809523,0.7692307692307693,0.0,1.0,0.4136738750070279,0.42668629214904036,,
test,logistic_regression,trajectory_accuracy,10500,0.42460112367607983,0.34705919173525934,0.375,0.07692307692307693,0.782608695652174,0.0,1.0,0.41817733311211336,0.43133153387409273,,
test,random_forest,trajectory_accuracy,10500,0.6654014434262274,0.23691082302181793,0.7391304347826086,0.5833333333333334,0.8333333333333334,0.0,1.0,0.6605615054810035,0.6697550236674856,0.7368421052631579,0.75
validation,decision_tree,trajectory_accuracy,2100,0.6794363409720762,0.2823123600909845,0.7551020408163265,0.5932203389830508,0.9090909090909091,0.024390243902439025,1.0,0.667348734920538,0.6913652453758306,,
validation,extra_trees,trajectory_accuracy,2100,0.7277186583196428,0.29581203136669604,0.8571428571428571,0.6792452830188679,0.94,0.02127659574468085,1.0,0.7147041868989966,0.7403833321883257,,
validation,hist_gradient_boosting,trajectory_accuracy,2100,0.7543451888317395,0.26268144173208957,0.8571428571428571,0.7284283513097072,0.9344262295081968,0.022727272727272728,1.0,0.7432174264396927,0.7657191911211669,,
validation,linear_svm,trajectory_accuracy,2100,0.4721762935418633,0.38061800241971516,0.3578167115902965,0.09803921568627451,0.92,0.0,1.0,0.45636610321372073,0.4883847668212594,0.2777777777777778,0.4517625231910946
validation,logistic_regression,trajectory_accuracy,2100,0.4740820047002808,0.3925599028290755,0.39863013698630134,0.08122448979591837,0.92,0.0,1.0,0.4574314167707886,0.4915393905575594,0.32653061224489793,0.46551724137931033
validation,random_forest,trajectory_accuracy,2100,0.736510742538813,0.28539241341792027,0.8524590163934426,0.6964285714285714,0.9387755102040817,0.023255813953488372,1.0,0.7234459212245689,0.7483400172600968,,
