model_a,model_b,n_pairs,mean_a,mean_b,mean_difference_a_minus_b,median_difference_a_minus_b,wilcoxon_statistic,p_value_raw,rank_biserial_a_vs_b,effect_magnitude,better_model_by_mean,p_value_holm,significant_holm,alpha
decision_tree,extra_trees,10500,0.6099011221904189,0.6596387392482648,-0.049737617057845844,0.0,9327721.0,0.0,-0.6570284195794666,large,extra_trees,0.0,True,0.05
decision_tree,hist_gradient_boosting,10500,0.6099011221904189,0.671459265474101,-0.06155814328368214,-0.04347826086956519,7770764.5,0.0,-0.733531256005996,large,hist_gradient_boosting,0.0,True,0.05
decision_tree,linear_svm,10500,0.6099011221904189,0.4202258992804024,0.18967522291001654,0.08695652173913038,8626199.0,0.0,0.7671389905395621,large,decision_tree,0.0,True,0.05
decision_tree,logistic_regression,10500,0.6099011221904189,0.42460112367607983,0.18529999851433904,0.08333333333333334,8139513.5,0.0,0.7803001443001443,large,decision_tree,0.0,True,0.05
decision_tree,random_forest,10500,0.6099011221904189,0.6654014434262273,-0.05550032123580842,-0.04166666666666663,6977978.0,0.0,-0.750984102907173,large,random_forest,0.0,True,0.05
extra_trees,linear_svm,10500,0.6596387392482648,0.4202258992804024,0.2394128399678624,0.13043478260869565,4111272.0,0.0,0.9197873017887559,large,extra_trees,0.0,True,0.05
extra_trees,logistic_regression,10500,0.6596387392482648,0.42460112367607983,0.23503761557218492,0.12,3410725.0,0.0,0.9337318740963236,large,extra_trees,0.0,True,0.05
hist_gradient_boosting,linear_svm,10500,0.671459265474101,0.4202258992804024,0.2512333661936987,0.15384615384615385,4050681.0,0.0,0.9241548193426015,large,hist_gradient_boosting,0.0,True,0.05
hist_gradient_boosting,logistic_regression,10500,0.671459265474101,0.42460112367607983,0.24685814179802115,0.13636363636363635,3401354.5,0.0,0.9435983549647176,large,hist_gradient_boosting,0.0,True,0.05
linear_svm,random_forest,10500,0.4202258992804024,0.6654014434262273,-0.2451755441458249,-0.14285714285714285,3939681.5,0.0,-0.9268571411670856,large,random_forest,0.0,True,0.05
logistic_regression,random_forest,10500,0.42460112367607983,0.6654014434262273,-0.24080031975014746,-0.13636363636363638,3531008.5,0.0,-0.93649676755917,large,random_forest,0.0,True,0.05
extra_trees,hist_gradient_boosting,10500,0.6596387392482648,0.671459265474101,-0.011820526225836295,0.0,17862721.0,3.2050261136565105e-24,-0.19496847573321469,small,hist_gradient_boosting,1.2820104454626042e-23,True,0.05
extra_trees,random_forest,10500,0.6596387392482648,0.6654014434262273,-0.0057627041779625705,0.0,15426177.0,9.62287477116301e-13,-0.1479803414053458,small,random_forest,2.8868624313489035e-12,True,0.05
hist_gradient_boosting,random_forest,10500,0.671459265474101,0.6654014434262273,0.006057822047873724,0.0,18021929.5,4.131265989209825e-12,0.12475227529162806,small,hist_gradient_boosting,8.26253197841965e-12,True,0.05
linear_svm,logistic_regression,10500,0.4202258992804024,0.42460112367607983,-0.0043752243956774895,0.0,21199389.5,2.7039559442074704e-07,-0.05985259809626032,negligible,logistic_regression,2.7039559442074704e-07,True,0.05
